concurrency	num_prompts	completed	ttft_p50_ms	tpot_p50_ms	itl_p50_ms	output_throughput_tok_s	request_throughput_req_s	duration_s
1	64	64	73.4	10.28	8.80	95.18	0.372	172.1
8	64	64	112.0	22.00	16.73	350.68	1.370	46.7
32	256	256	140.3	42.45	40.37	731.24	2.856	89.6
64	512	512	2391.8	47.88	45.41	972.07	3.797	134.8
